	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
GASES INDUSTRIALES	83.2	0	19.9	0	0	0	21.2	0	0	0	20.9	0	0	0	0	0	21.2	0	0	0	0	0	0	0	0	0
HIERRO Y ACERO	81.2	36706	27.9	6657.7	0.1	5995.8	0	6244	1.1	4326.8	0.1	1299.4	26.5	1314.3	0.1	1840.3	13.1	4783	12.3	1000	0	1476	0	0	0	1768.7
MAGNESIO	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	3	0	0	0	0	0	0	0	0	0
MARMOL	0	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2	0	0	0	0	0	0	0	0
NIQUEL	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	276.2	0	0	0	98.1	0	0	0	0.3	0	15.8	0	0	0	126	0	0	0	33.8	0	0	0	2.3	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	4.5	0	0	0	0	0	0.7	0	0	0	3.4	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
PLOMO	0	14821.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14821.2	0	0
PRODUCTOS MINERALES DIVERSOS	81.8	0.4	0	0	0	0	0	0	7.1	0	35.8	0	13	0	1	0	14.3	0	2.7	0	0	0	0	0	8	0.4
ZINC	1.9	191.3	0	0	0	32.7	0.2	22.1	0	0	0.1	17.8	0	0	0	27	0.1	48	0	0	1.3	18	0	25.7	0.1	0
