,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
AVES DE CORRAL BENEFICIADAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUCAR,1105.5,0.2,0,0,1105.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,0,24,0,0,0,0.8,0,1.3,0,3.1,0,0.6,0,0,0,1.4,0,0.6,0,1.4,0,5.3,0,3,0,6.6
BATERIAS ELECTRICAS,4529.8,4435.1,484.5,327.9,438.4,400.3,569.2,298.6,269.3,281.4,555.5,645.3,72.2,253.2,395,234.1,345.4,367.3,219.1,178.8,404.7,709.1,409,356.1,367.3,383
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,12678.9,5783.3,6641.6,373.6,0,445.6,5479.1,587.2,0,391.9,0,702,0,309.9,0,668.7,0,459.6,0,628.5,0,609.4,0,265.1,558.3,341.9
BORRA DE ALGODON (LINTERS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAFE SOLUBLE Y MOLIDO,0.1,114.6,0,59.1,0,0.1,0,2.3,0,41.6,0,2,0.1,0,0,1.3,0,0.2,0,1.5,0,3.8,0,2.4,0,0.2
CALZADO,0.9,131.2,0.1,24.6,0.1,7,0,32.5,0,0.4,0.2,12.2,0.1,7.9,0,13.3,0.1,0.1,0,0,0.1,11,0,14.4,0.2,7.9
CAMARON Y LANGOSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERAS,0,37.4,0,17,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0.6,0,8.1,0,11.2,0,0
CLAVOS Y TORNILLOS,0,141.6,0,14.5,0,5.9,0,11.4,0,3.9,0,10.7,0,19.7,0,20.3,0,15.7,0,4,0,27.9,0,1.9,0,5.7
DETERGENTES Y JABONES,0,1048.9,0,63.6,0,40.8,0,141.8,0,3.1,0,64,0,77.1,0,94.2,0,220.7,0,136.1,0,105.6,0,50.2,0,51.7
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,28.5,0,0,0,1.2,0,9.4,0,1.6,0,1.2,0,2.1,0,0.9,0,0.8,0,0.1,0,1.3,0,1,0,8.8
GLICERINA CRUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,0,70.7,0,0.4,0,0,0,1.2,0,0,0,6.6,0,18.8,0,0,0,25.6,0,1.7,0,3.3,0,11.8,0,1.1
HARINAS DE CEREALES,0,6.7,0,0,0,0,0,0.4,0,0,0,0.9,0,1.3,0,0,0,0.2,0,0.1,0,3.3,0,0.4,0,0.1
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0.1,458.4,0,67,0.1,25.9,0,6.1,0,20.2,0,21,0,13.8,0,50.1,0,55.3,0,20.7,0,78.4,0,90.3,0,9.6
HILOS E HILAZAS,72.3,12089.7,0,605.8,0,1078.1,0,964.4,0,1149,0,736.8,0,767.4,0,1540.6,0,942.8,72.3,1213.6,0,1103,0,778.8,0,1209.3
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,234,0,0,0,0,0,234,0,234
INSTRUMENTAL MEDICO Y OTROS,13,3314.2,0,237.1,0.1,141.3,0,237.1,0,366.4,0.1,215.9,0,321.6,0,525.7,0,426.9,0,350.1,12.7,188,0.1,102.1,0,201.8
JOYERIA DE FANTASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",9.4,232.6,3,2,0.3,10.6,0.3,2.8,0,6.9,0.3,2.2,1.1,47.5,0,4.8,0.1,16,2.8,28.4,0.8,107.4,0.4,0.2,0.4,3.7
LAMINA Y ALAMBRE,0.1,1549.7,0,97.9,0,92.4,0,200.8,0,26.7,0,101.8,0,119.8,0,57.6,0,131.4,0,14.4,0.1,142.3,0,393,0,171.5
LECHE Y OTROS PRODUCTOS LACTEOS,0,44.6,0,22,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0
MADERA EN TROZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE CAUCHO,0,1336.1,0,107.8,0,81.8,0,101.9,0,60.2,0,98.7,0,52.8,0,157.9,0,173.1,0,117.5,0,75.6,0,185.6,0,123.1
MANUFACTURAS DE CERAMICA,17.7,103.4,0.2,40.1,0.4,13.3,0,4.2,0,0.5,0.2,7.8,15.6,14.4,0,11.5,0,1.7,0,0.5,0.6,2.7,0.3,1,0.4,5.6
MANUFACTURAS DE CUERO,73.4,93.5,0,17.2,0,3.7,0,5.6,0,1.2,0,5.8,73.4,51.6,0,0,0,1.1,0,0.4,0,6.7,0,0,0,0.3
MANUFACTURAS DE MADERA,1.8,34.7,0,0.4,0.7,3.2,0,0.6,0,15.7,0,1,0,7.9,0,0.1,0,0.1,0,0.2,0.8,0.1,0.2,0,0,5.5
MANUFACTURAS DE PAPEL Y CARTON,1016.7,6950.8,53.8,566.3,73.6,509,121.3,705.2,105.4,446.9,110.3,302.7,105.3,521.1,76.4,348.6,86.2,387.7,65.6,598.7,73.3,712.2,84.1,1152.6,61.4,699.9
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0,106,0,0,0,4.2,0,41,0,5.5,0,28.9,0,3.4,0,0.3,0,0.1,0,8.4,0,0,0,0,0,14.2
