	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
MATERIALES PLASTICOS Y SUS MANUFACTURAS	17658.9	346856.3	1553.2	29242.2	1566.5	33650.4	1959.2	36447.4	1206.6	25250	1532	24031.7	1595.3	25686.3	1366.7	30814.3	1556.7	30182	1548.5	27749	1222.5	29647.4	1546.2	29220.1	1005.4	24935.5
MATERIALES TEXTILES (TEJIDOS O TELAS)	6337.9	210823.3	449.9	20942.7	426.6	18362.9	510.5	18514.3	345.2	14229.8	266.2	16815.6	535.4	16149	313.8	20645.2	351.6	19160.2	1559.5	17610.3	826.3	17083.9	417.9	15378	335.1	15931.4
MELAZAS DE AZUCAR	8887.5	1.2	0	0	3398.9	0	0	0	1763.3	0	860	0	0	0	0	1.2	2056	0	0	0	0	0	0	0	809.3	0
MOTA DE ALGODON	84.7	339.5	9.1	13.5	44.5	41.5	0	0	0	48	0	15.1	0	61	0	14.7	0	43.3	9.9	14.4	0	30.3	0	28.9	21.3	28.8
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1175.2	28648.6	44	3346.8	144.2	1538.9	124.6	2244.8	59.7	1934	55.3	2405.6	88.8	2999.2	65.2	2304.3	59.9	2504.1	102.3	2152.7	166.6	2445.3	137.1	2549.7	127.6	2223.2
NEUMATICOS Y TUBOS	2.5	11483.6	0	627.7	0	1061.4	0	1177.5	0	901.5	2.5	848.6	0	1403.7	0	1163	0	1033.1	0	734.9	0	1132.6	0	824.5	0	575.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	82.1	219.3	0.8	11.5	1.8	13.3	2	16.6	48.8	6	1.8	8.6	4.3	10.5	4.7	32.8	6.6	20	2.2	29.7	1.2	32.6	7.6	26	0.5	11.6
OTRAS MANUFACTURAS DE METALES COMUNES	251.9	37931.5	14.3	2947.6	26.6	3525.7	17.4	3413.8	10.3	2544.2	23.2	3518.7	34.5	3272.8	35	3105.3	47.2	3383.9	14.2	2919.4	10.3	3487.2	9.5	3013.1	9.4	2799.7
OTROS ACEITES ESENCIALES	3731.8	6686.4	269.1	348.6	248.2	722.4	182.9	508.4	415.6	514.2	264.5	305.2	113.6	608.1	552.1	237.5	135.8	1469.2	225.2	214.6	283.4	462.2	264.8	431.1	776.6	864.8
PAPEL Y CARTON	113.4	273125.7	0.1	17660.7	0	25254.2	0	24562.8	20.1	20437.2	12.3	21522	0	19914.7	0	21691.1	14.1	25044.6	12.9	21045.2	28.1	24158	25.8	26432.6	0	25402.6
PESCADO Y MOLUSCOS	6482	6593.3	577.5	314.6	591.9	486.9	441.3	772.8	384.6	786.1	530.2	680.2	378	418.4	277.7	569.1	217.9	558.3	230.4	268.3	581.1	530.2	887.2	755.1	1384.1	453.4
PIELES Y CUEROS	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
PINTURAS Y BARNICES	412.3	34807.4	29.1	3007.1	21.4	2590.1	23.3	2857.8	24.2	2546.6	34.8	2620.6	59.3	3168.9	29.6	2974.2	4.6	3633.2	46.2	2941.1	63.8	2979.6	55.4	3120.5	20.6	2367.6
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	0	28.4	0	6.1	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0
