	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
MANUFACTURAS DE CUERO	1643.4	18595.5	85.9	1958.6	110.3	1239.7	197.1	1867.1	246.7	1510.2	40.6	1058.9	203.5	1426.7	93.1	2110.8	125.1	1821.2	178.2	1393.8	113.4	1494.8	150.7	891.8	98.9	1821.7
MANUFACTURAS DE MADERA	8798.1	20959.2	558.9	2036.2	220.2	2237.8	373.9	1675.1	371.8	1760.3	393.6	1586.2	399	1811.3	681.2	2102.7	566.7	1419.8	1024.5	788.8	959.9	1108.1	1248.5	2863.5	2000.1	1569.4
MANUFACTURAS DE PAPEL Y CARTON	55716.6	38668.6	4615.7	6014.5	4451.9	2773.4	5202.3	3953.7	4164	3597.7	3607.1	2328	3180.9	1811.5	4207.9	2537.1	4570.3	2386.9	4794.3	2367.8	5774.1	2477.5	6653.7	3520	4494.4	4900.5
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	1739.3	142.3	50.6	1	76.3	14.8	145.2	38.6	131.8	0	78.9	5	100.6	29.4	147.8	21.8	92.1	0	30.7	8.8	78.4	22.9	437.1	0	369.7	0.1
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	7468.8	34584.3	418.3	1527.3	404.9	1240.1	580.2	1861.5	608.2	3629.6	471.1	2157.5	628	3052.8	464.5	1787.6	662.7	1883.3	748	4973.3	959.3	5057.3	815.2	4455.8	708.4	2958.3
MANUFACTURAS DE PIELES	41.9	0	0	0	4.3	0	0.7	0	0	0	7.5	0	19.6	0	0.4	0	4.7	0	0	0	0	0	0	0	4.6	0
MANUFACTURAS DIVERSAS	66409.2	2534.6	4748.1	87.3	5849.4	245.1	5298.5	329.7	5955.5	342.2	4067.1	189.1	6718.7	275.1	5119.2	224.3	5761.3	210.6	7218.1	100.5	5623.7	218.5	5072.8	135.9	4976.6	176.4
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	482558.3	12213.4	47561.7	397.3	60897.8	637	42013	712.2	47557.8	1637.2	46169.7	1339	28020.4	656.9	39582.7	857.7	37761.1	716.7	28200	1126.4	38423.7	2453.6	29012.5	667	37357.8	1012.4
MATERIALES PLASTICOS Y SUS MANUFACTURAS	217997.5	15103.3	11188.6	1041.1	13953.6	1365	19915	1151.5	16364.3	964.6	16771.5	663.7	19138.3	968	22401.2	1616.1	18955.4	1591.1	22170.2	1505.7	21330.2	1533	18261.1	1229.3	17548.1	1474.2
MATERIALES TEXTILES (TEJIDOS O TELAS)	133218.7	3230	8087.9	471.6	10248.9	188.7	10594.3	226.8	10994.2	121.8	11000.5	378.5	10360.9	524.5	12505.9	354.1	10802.7	318.1	13131.7	124.4	13449.4	357.6	12535.6	122.2	9506.5	41.6
MELAZAS DE AZUCAR	9.8	29598.2	1	6299.2	1.4	4514.6	7.2	0.3	0	1200	0	0	0.1	2450.8	0	7659.3	0	1960.3	0	0	0	597.1	0	2040.8	0	2875.9
MOTA DE ALGODON	20.4	0	0	0	0	0	0	0	0	0	20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	15087.4	868	1147.8	54.1	880.9	84.6	1192.7	91.3	1331.1	71.1	926	79.6	1157.4	30.4	1418.6	70.6	1480	82.4	1247.3	95.5	1411.5	64.2	1425	96.9	1469.2	47.4
