,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",93.30,384.50,17.90,37.8,9.60,17.2,8.00,79.3,9.90,47.4,0.20,41.4,11.80,26.1,12.20,33.3,4.20,12.7,7.40,19.2,5.10,18.7,1.40,20.1,5.70,31.2
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,1.20,26.80,0.00,2.5,0.00,0.9,0.00,0.30,0.50,0.1,0.00,19.00,0.10,0.4,0,0.8,0.20,0.7,0,0.30,0.20,1.4,0.2,0.4,0.00,0.1
MANUFACTURAS DE PIELES,221.70,0.20,7.80,0,4.70,0,53.20,0.00,4.80,0,25.30,0.00,0.00,0,0.00,0,20.60,0,0.00,0.20,44.90,0.00,18.50,0.00,42.00,0.00
MANUFACTURAS DIVERSAS,"10,121.30","3,320.60",726.20,295.30,854.80,245.80,753.00,377.20,929.70,160.40,878.10,318.50,880.60,250.30,797.50,297.90,970.80,226.20,500.80,246.90,847.80,295.60,784.10,286.90,"1,198.00",319.60
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,"12,288.30","12,001.10",895.60,948.9,536.60,"1,237.40",966.40,459.2,649.30,696.9,780.50,"1,714.10","1,218.00","1,475.40","1,064.20","1,535.60",807.8,996,964.5,564.8,"2,113.00",712.6,"1,432.20","1,149.60",860.10,510.6
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"28,767.80","26,730.30","2,188.20","1,951.40","2,667.50","1,844.60","3,034.40","2,328.00","2,274.70","2,112.50","2,588.80","2,498.10","2,506.80","2,222.90","2,418.50","1,796.20","2,253.60","2,109.60","2,150.60","1,801.90","2,294.30","2,866.00","2,384.20","2,871.90","2,006.00","2,327.30"
MATERIALES TEXTILES (TEJIDOS O TELAS),176.60,"7,021.90",12.80,573.10,15.50,698.80,29.90,673.30,5.50,656.30,1.10,708.80,1.20,464.10,10.50,627.10,13.30,505.90,10.10,476.20,8.80,709.80,22.10,528.10,46.00,400.50
MELAZAS DE AZUCAR,35.00,0.00,0,0,1.60,0,4.00,0,4.4,0,0,0,4.3,0,0,0,4.80,0,1.3,0,5.1,0,6,0,3.50,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.","1,270.60","3,473.30",106.8,212.7,48.1,205.1,84.30,220.6,25.2,174.6,65.8,142.7,205.4,186.2,53.6,247.4,31.4,155.3,77.1,539.2,285.1,323,82.8,694.7,205,371.8
NEUMATICOS Y TUBOS,"10,126.90","2,392.40",993.6,139.5,"1,011.10",237.4,766.2,179.8,654.4,164.2,646.80,162.2,891.7,260.5,677.50,388.3,"1,171.00",76.8,891,281.4,820.30,140.7,"1,021.10",222.6,582.20,139
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",1.30,3.70,0.2,0.5,0,0,0.00,0.8,0,0,0,0.4,0.10,0,0.2,0,0.3,0.3,0.10,0,0.3,0.1,0.00,0.4,0.2,1.2
OTRAS MANUFACTURAS DE METALES COMUNES,"12,327.60","4,111.50","1,330.60",73.7,820.8,191.1,"1,083.80",711.9,"1,111.90",305,"1,043.80",239.1,823.1,244,"1,011.70",217.9,"1,118.80",316.8,"1,416.40",480.5,880.90,378.7,"1,010.00",574.4,675.80,378.4
OTROS ACEITES ESENCIALES,32.10,0.10,3.80,0,0,0,0.00,0,2,0,8.10,0,2.6,0,0.1,0.1,7.9,0,0,0,0.2,0,4.8,0,2.6,0
PAPEL Y CARTON,"5,576.70",715.70,488.3,50.20,429.8,67.8,640.10,41.1,411.3,74.10,245.5,117.4,297.5,52.1,548.7,82.1,455.7,47.5,332,43.6,589.2,52.2,558.1,51.9,580.4,35.9
PESCADO Y MOLUSCOS,73.90,12.20,0,0.00,0,0,0.00,0,0,0.00,0,12.2,0.00,0,0.00,0,0,0.00,0.00,0.00,42.60,0.00,19.40,0.00,11.8,0.00
PIELES Y CUEROS,569.70,4.30,63.5,0,63.50,0,74.60,0.00,47.30,0.00,43.40,0.00,44.60,0,40.70,0.00,39.80,0.00,52.50,4.30,48.60,0.00,26.30,0.00,24.80,0.00
PINTURAS Y BARNICES,"7,139.10","4,266.20",397.00,378.00,376.1,313.00,508.70,265.5,379.7,228.20,523.10,307.40,566.5,353.2,958.6,360.8,434.1,351.5,706.8,374.9,887.9,400.5,995.5,611.2,405.2,322.2
PREPARADOS A BASE DE CEREALES,"18,004.90","14,370.30",929.7,"1,078.80","1,271.50","1,051.50","1,604.00","1,346.10","1,258.90",973.30,"1,469.10","1,374.30","1,477.00","1,243.30","1,742.50","1,578.90","1,728.40","1,329.60","1,630.90","1,248.70","1,705.40","1,351.60","1,429.50",892.10,"1,758.00",902.20
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","5,437.30","6,231.50",646.70,569.50,902.20,568.10,474.00,517.20,431.60,469.00,302.50,639.30,258.90,599.20,140.80,523.10,132.80,641.10,780.90,434.90,704.70,381.10,431.90,482.50,230.40,406.50
PREPARADOS DE LEGUMBRES Y HORTALIZAS,"1,602.60","4,840.00",75.40,377.10,159.70,568.10,107.70,284.80,112.10,279.60,199.10,456.60,169.1,453.80,139.9,317.5,122.4,242.00,182.40,407.60,71.9,743.4,165.7,236.00,97.3,473.40
PREPARADOS DE FRUTAS,"3,655.80","4,908.60",195.20,386.90,286.60,283.30,297.10,520.30,249.60,477.00,307.80,549.8,358.20,294.70,387.20,338.40,334.70,509.20,305.20,394.20,279.30,297.20,380.30,425.90,274.50,431.60
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS","1,716.30","12,939.80",94.90,"1,147.80",206.20,"1,041.60",129.80,"1,437.40",155.90,835.10,175.20,"1,080.50",125.70,995.00,85.30,"1,233.00",207.50,866.30,147.10,"1,040.50",144.10,"1,147.20",122.90,"1,222.70",121.60,892.70
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"13,558.20","6,744.10",908.00,381.80,973.10,494.10,"1,310.10",556.20,992.20,520.80,745.40,522.00,"1,202.20",531.80,"1,468.80",526.40,775.6,710.90,"1,493.30",347.40,"1,280.70",663.70,"1,686.90",832.10,721.8,656.80
PRODUCTOS FARMACEUTICOS,"42,225.30","24,315.80","3,382.80","1,306.00","2,061.70","1,721.20","3,318.00","1,800.10","3,195.60","1,459.40","4,566.20","2,015.00","3,024.40","2,491.90","3,633.30","2,114.70","4,084.30","2,359.00","4,331.20","2,205.80","3,511.30","1,563.90","4,288.00","2,593.20","2,828.60","2,685.70"
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,44.60,334.70,5.00,54.60,5.10,21.40,7.30,37.70,1.40,9.60,1.20,32.40,2.00,8.90,2.10,13.60,2.90,3.50,2.00,65.10,1.10,13.40,7.10,59.50,7.40,15.00
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",211.70,"1,266.30",0.1,60.6,4.5,82.5,11.4,155.2,7.8,70.9,15.5,129.5,17.3,87.8,20.5,115.9,46.2,150.4,17.8,145.2,7.1,84.6,48.3,83.4,15.2,100.3
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS","19,687.80","1,519.30","1,451.30",42.4,"1,448.00",27.4,"1,983.40",86.5,"1,504.50",124,"1,701.60",112.7,"1,642.20",57.8,"1,413.80",47.2,"1,533.40",171.6,"1,590.40",216.9,"1,758.00",180.2,"1,822.80",280.2,"1,838.50",172.4
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",35.30,51.90,0.00,3.9,0.00,2.6,0.50,2.8,2.40,2,1.10,2.8,23.50,3.7,0.20,7.4,0.60,4.2,1.30,10.7,2.30,4.3,0.00,4.9,3.30,2.4
TABACO ELABORADO,1.20,56.90,0,21.2,0.2,3.8,0,0,0.4,0,0,3.1,0,4.6,0,2.7,0.1,4.6,0,6.3,0.4,6,0,4,0,0.5
TUBERIA Y SUS ACCESORIOS,"1,060.70","3,345.70",75.00,68.6,139.70,142.5,172.10,61.9,51.90,234.7,42.10,369.8,104.8,227.8,80.1,386.8,27.6,227.7,1.1,279.8,188.5,468.7,82.7,523.7,95.1,353.8
VEHICULOS Y MATERIAL DE TRANSPORTE,"2,938.70","4,164.40",104.80,33.30,451.90,189.8,155.70,319.9,141.40,155.2,120.10,507.8,71.80,395.7,155.90,680.6,89.60,547.9,195.10,224,340.40,352.4,729.50,528.4,382.50,229.4
VIDRIO Y SUS MANUFACTURAS,"8,798.30","2,502.70",753.9,120.3,349.70,80.4,"1,195.50",145.9,417.40,257.4,486.60,576.1,441.1,162.7,559.6,83.9,609.3,152.7,882.6,189.6,"1,067.20",185.4,"1,063.20",204.8,972.3,343.5
INDUSTRIAS EXTRACTIVAS,"14,244.30","2,990.30","1,020.50",112.8,884.50,300.2,908.50,453.3,"1,131.30",202.4,"1,805.70",250.3,"2,561.60",172.2,"1,334.90",154.1,"1,038.60",196.3,764.20,233.1,992.10,247.7,"1,052.00",308.2,750.40,359.7
ALUMINIO,"5,395.60",68.90,436.00,0.5,427.50,4.9,271.70,0,446.3,6.3,652.7,7,550.1,14.1,268.70,11.9,449.80,4.5,328.20,4.2,604.90,13.7,638.50,1.1,321.40,0.7
CEMENTO,0.00,7.6,0,2.1,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBRE Y SUS MANUFACTURAS,26.80,20.4,2.7,0,0,3.9,19.6,0,3.7,0,0,0,0,0,0,8.2,0,0,0,0,0.2,0,0.50,8.3,0,0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA),"3,227.80",0.00,282,0,348.7,0,292.8,0,179.3,0,231.4,0,242.5,0,265,0,338.7,0,288,0,265.4,0,238.2,0,255.8,0
GASES INDUSTRIALES,178.7,269.50,37.1,0,0,16.9,11.7,1.2,0,40.4,10.3,41.6,23.2,0,0,22.7,0,22.5,0,22.5,36.8,4.9,19.9,72.5,39.7,24.2
HIERRO Y ACERO,"4,785.80",568.10,185,16.9,90.3,115.4,287.8,47.1,448.4,0,883.5,41.2,"1,656.00",14,662.4,0,226.2,16.4,121.2,35.8,57.1,42.3,120.6,90.7,47.4,148.3
MAGNESIO,1.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.4,0,0,1.1,0
MARMOL,0.00,96.40,0,13.4,0,14,0,23.2,0,17.3,0,1.1,0,0.7,0,0,0,0,0,0,0,24,0,2.6,0,0
OTROS DERIVADOS DE PETROLEO,57.2,451.50,0,5.60,0,14.9,2.8,249,0,19.2,17.2,34.1,7.3,0,11.2,25.3,8.5,17.9,0.6,40.4,8.7,18.4,1,13,0,13.7
OTROS METALES COMUNES,0.8,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,438.6,"1,507.00",67.4,74.3,9.3,130.2,16,127.3,43.3,119.2,5.2,125.2,72.1,143.4,115.6,85.4,6.2,135,23,130.2,13.7,144,26.4,120,40.3,172.9
ZINC,131.9,0.00,10.3,0,8.7,0,6,0,10.3,0,5.4,0,10.3,0,11.9,0,8.8,0,3.1,0,5.3,0,6.9,0,44.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
