,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MATERIALES PLASTICOS Y SUS MANUFACTURAS,"46,517.50","36,108.90","2,777.80","3,044.90","3,419.70","3,270.60","4,188.90","2,850.70","4,002.20","3,566.60","3,693.80","3,330.30","3,901.70","2,887.00","4,467.40","2,660.50","2,994.60","2,676.70","3,222.80","2,827.30","4,167.00","2,999.10","4,218.70","2,935.50","5,462.90","3,059.50"
MATERIALES TEXTILES (TEJIDOS O TELAS),"5,494.70",660.00,301.40,49.1,344.60,24.00,351.20,20.9,450.70,95.5,674.50,101.30,375.20,14.20,625.90,40.00,518.70,119,403.60,42.1,674.10,67.8,341.20,38.90,433.60,47.3
MELAZAS DE AZUCAR,0.00,66.20,0.00,9.30,0.00,9.30,0.00,0.00,0.00,25.60,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.","5,843.30","2,789.60",383.70,196.50,292.40,235.10,423.10,124.30,342.10,189.50,454.20,288.50,347.70,300.70,337.90,245.40,445.30,166.50,624.30,424.40,876.00,239.50,705.60,222.50,610.90,156.50
NEUMATICOS Y TUBOS,408.60,"11,264.00",34.40,342.40,60.20,"1,099.00",25.00,962.10,2.70,611.20,24.20,907.60,67.50,"1,078.50",56.10,"1,240.80",29.10,"1,237.90",12.40,690.70,8.50,986.60,42.60,923.40,45.80,"1,184.10"
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.40,64.10,0.00,4.90,0.00,1.10,0.00,0.10,0.10,0.00,0.00,33.90,0.20,0.00,0.00,1.30,0.00,0.50,0.00,2.60,0.00,18.90,0.10,0.90,0.00,0.00
OTRAS MANUFACTURAS DE METALES COMUNES,"7,139.80","15,740.80",465.20,"1,500.90",244.30,"1,726.20",622.80,"1,151.10",527.6,"1,072.60",621.40,"1,228.70",954.80,"1,265.60",902.00,"1,403.00",616.30,"1,154.10",643.8,"1,377.40",333.00,"1,205.90",640.70,"1,291.70",567.90,"1,363.80"
OTROS ACEITES ESENCIALES,49.50,53.40,1.40,14.10,6.40,7.10,2.90,1.10,0.60,8.00,0.20,2.30,10.60,1.00,6.10,1.00,1.20,0.90,3.50,1.70,0.20,1.50,9.10,1.00,7.40,13.6
PAPEL Y CARTON,752.70,"16,596.50",119.10,"1,031.40",17.20,"1,577.70",67.90,"1,388.60",25.60,"1,825.40",28.40,"1,211.30",67.20,915.80,45.10,"1,338.10",40.50,"1,989.50",84.30,609.10,114.70,"1,928.20",71.40,"1,565.00",71.30,"1,216.20"
PIELES Y CUEROS,0.00,291.60,0.00,0,0.00,0,0.00,24.9,0.00,53.7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,55.6,0.00,52.5,0.00,70.2,0,34.8
