,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
LECHE Y OTROS PRODUCTOS LACTEOS,3133.7,10608.1,178.2,875.8,209.8,883.3,236.5,943.8,684,529.2,428.8,1263.8,153,759.5,197.3,623.8,421.4,503.9,252.7,979.4,90.8,1129.5,109.8,804.6,171.2,1311.5
MANUFACTURAS DE CAUCHO,445.2,1613.5,59.1,95.4,18.1,83.8,116,400.7,30.8,313.8,4.8,61.4,34.2,46.8,17.1,202.6,33.3,81.4,20.2,80.3,73.4,63.3,11.3,83,26.9,100.8
MANUFACTURAS DE CERAMICA,905.2,343,127.9,31.5,76.9,58.3,38.1,31.9,38.7,48.7,66.8,30.3,48.5,12.7,20.7,3.9,43.5,36.2,273.6,55,81.7,21.1,46.9,12.5,42.1,1
MANUFACTURAS DE CUERO,0.9,440.2,0.4,15.3,0,17.6,0,53.4,0,16.1,0,18.2,0,27.7,0,26.8,0,119,0,24,0,38.3,0.5,52.9,0,31.1
MANUFACTURAS DE MADERA,2131.7,147.2,118.1,15.5,100.9,11.6,188.9,14.9,110.5,13.8,185.1,19,168.2,5.7,305.9,4.4,276.8,10.6,191.7,14.9,205.8,16.7,138,13,141.9,7.1
MANUFACTURAS DE PAPEL Y CARTON,8574.6,9661.9,584.8,667.5,739.3,912.5,622.6,736.1,712.1,701.6,614,453.3,722,1217.7,400.8,872.4,855.3,939,830.6,643.9,815.3,803.4,861.8,1013.3,816.1,701.3
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",337.5,567.9,65.8,62.9,27,13.9,66.8,51.6,53,23.8,27.4,10.5,25.5,46.6,5.7,144.3,28.4,33.1,6.1,65.6,19.3,22,6.9,33.7,5.6,59.9
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,204.1,1808.1,14.8,153.6,22.6,174.4,17.2,108.8,23.3,183.4,30.9,178.4,11.9,173.4,11.4,86.6,12,151.4,15.9,200.7,16.5,146.6,12.3,190.6,15.3,60.1
MANUFACTURAS DE PIELES,37.8,793.5,0,0,0,141.3,0,0,0,83.3,0,90.3,0,122.9,0,33.2,0,68.5,37.8,92.8,0,100.7,0,60.6,0,0
MANUFACTURAS DIVERSAS,3395.2,9661.9,262.8,870.8,175.1,809.3,278.9,739.6,262,683.1,367,798.4,294.5,645.4,249.2,572.8,235.5,763.1,375.7,909.4,221.2,727.2,336.3,1132.6,337.1,1010.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,6651.1,39413.1,447.9,4289.7,338,2709.9,362.5,2985.9,476.9,2741.5,400.8,2711.6,1131,2740.7,784.5,3695.1,346.1,3248.3,593.3,3366.9,269.3,4204.6,712.6,3121,788.2,3598
MATERIALES PLASTICOS Y SUS MANUFACTURAS,10305.9,12273.6,935.2,904.8,545.2,1218.8,989.6,1032.2,799.3,1254.4,959.6,615,804.6,838.6,1042.2,739,839.2,997.8,780.9,921.5,547,1293.6,809.6,1548.2,1253.4,909.8
MATERIALES TEXTILES (TEJIDOS O TELAS),485.7,2060.5,28.4,192.5,78.1,140.4,46.4,209.3,27.5,55.3,35.9,133.1,26.9,179.3,29.2,233.8,49.6,146.3,16.2,260.4,17,105.6,74.1,160.5,56.4,244.3
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",3676.8,1026.5,186.6,66,217.1,75.4,434.6,95.6,191.1,76.2,252.1,53.6,237.7,65.5,365.8,104.7,213.1,65.5,531.2,93.6,267.8,90.1,449.4,174.8,330.3,65.5
NEUMATICOS Y TUBOS,80.3,381.1,10.6,0,0,7.4,64.4,27.7,0,16.1,0,39.5,5.4,8.6,0,57.3,0,0,0,59.7,0,0.4,0,0.5,0,164
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.8,32,0,0.2,0,0.3,0.3,4.3,0,25.1,0.1,0.3,0,0.4,0.3,0.2,0,0,0,0,0,0,0.1,0.2,0,1.2
OTRAS MANUFACTURAS DE METALES COMUNES,4996.2,3538.8,228.8,336.1,640.6,216.8,410.4,305.8,563,291.2,349.1,301,420,209.9,527.7,350.6,318.8,209.7,407.3,287.5,196.8,467,331.7,431,601.9,132.3
OTROS ACEITES ESENCIALES,1.5,65.7,0,11,0,0,0.3,0,0,0,0.8,8.9,0,14.6,0,0,0,21.1,0,8.9,0.3,0,0,0,0.1,1.2
PAPEL Y CARTON,547.9,1570.8,64.7,268.7,0.8,159.4,20.4,215.6,1.7,161.6,24.5,186.4,30.2,37,66.7,100.4,99.7,24.8,32.1,54.5,53.4,96.4,71,122.4,82.7,143.6
