,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
PAPEL Y CARTON,3952.6,403.2,682.1,81.8,296.3,31.7,234.7,15.1,994.6,28.2,247.3,27.7,286,28.4,229,34.3,223.1,41.3,309,42.6,3.5,3.4,214.5,30.4,232.5,38.3
PESCADO Y MOLUSCOS,8734.9,0,831.2,0,1560.9,0,46.4,0,1113.3,0,32.7,0,1637.4,0,717.2,0,29.2,0,27.3,0,969.4,0,1355,0,415,0
PIELES Y CUEROS,65.1,0,11.4,0,0,0,0,0,9.1,0,0,0,0,0,5.8,0,4,0,12.1,0,6.4,0,8.1,0,8.1,0
PINTURAS Y BARNICES,2708.2,1834.5,266.7,37.4,207.4,57.9,212.1,151.4,183,130.8,242.8,86.1,242.3,102.9,232.2,112.8,203.6,127.5,261.2,162.3,321.1,305.7,229.6,258.1,106.2,301.7
PREPARADOS A BASE DE CEREALES,757,14776.2,79.8,1013.4,86.7,1207.9,50.4,1303.9,95.6,1184.7,15.4,1439.3,33.3,964.6,65.8,1647.8,0.5,1374.5,193.7,1087.6,55.9,1456.1,35.5,828.8,44.3,1267.7
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",307.9,4113.2,67.7,359.2,0,400.6,35.6,287.7,25.7,298.6,22.2,299.2,21.1,359,22.7,531.3,30,417.8,0.3,310.9,30.6,315.4,26.2,263.2,25.9,270.3
PREPARADOS DE LEGUMBRES Y HORTALIZAS,39.5,512.7,21.9,41,0,34.1,0,56.8,0.1,43.9,3.3,68.8,0,39.3,0,24.1,1.6,49.3,7.2,80.8,0,32.5,5.5,18.2,0,23.8
PREPARADOS DE FRUTAS,9.9,5644.7,0,506.9,0,482,0.1,542.8,0.1,459.4,0.1,578.5,0,441.2,0,471.8,0,414.6,9.5,426.2,0,448,0,364.5,0,508.9
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",7714,11315.9,429.7,795.3,1417.9,813.8,475.7,828.2,770.9,892.5,540,1098.1,350.3,932.8,377.4,903.2,816.7,952.1,746.9,1082.9,483.7,1002.5,918.7,971,386.2,1043.5
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,4310,1492.2,281.9,134.2,221.4,79,196.4,97.9,405,88,733.8,130,301.1,130.1,458,99,421.8,138.3,298.6,144.7,373.9,150.1,306.1,141.5,312,159.4
