,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",38.3,0.5,0.2,0,3.4,0,0.5,0,3.7,0,1.4,0,5,0,5.2,0,1.2,0,4.3,0.4,7.2,0.2,4.4,0,1.8,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,270,4.4,0,0,52.8,0,92.8,0,0,4.3,32.8,0,0,0,0,0,62.6,0.1,0,0,0,0,29,0,0,0
PREPARADOS DE FRUTAS,4.7,0.9,0.1,0,0,0,0.3,0,0.7,0.9,0.4,0,0,0,0,0,0,0,0.5,0,1.5,0,1.1,0,0.2,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",62.4,148.4,1.1,0,1,0,1.4,0,17.8,0,4.7,0,7.9,0,0,0,1.4,0,21.2,0,5.3,0,0.7,0,0,148.4
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,1447.6,4.3,113.8,0,163.4,0,54.1,0,72.9,0,157.7,0,96.9,1.8,127.1,0,93.5,0,71,0,299.5,0,87,0,110.7,2.5
PRODUCTOS FARMACEUTICOS,268.6,5.5,0.5,0,3,0,115.3,0,18.3,0,0.6,0,40.8,0,1.1,0,2.3,0,29.5,0,8.1,0,39,0,10.1,5.5
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,8.9,0,0,0,0,0,0,0,3.3,0,0,0,0,0,5.4,0,0,0,0,0,0.2,0,0,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",16.3,1.2,0,0,0,0.3,0.1,0,0.2,0.2,0.2,0.1,0.5,0.4,1.3,0,0.4,0,0.5,0,5.6,0,6.7,0.1,0.7,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",23.6,5.8,0.1,0,1.7,0,0.4,0,0.1,5.8,0.5,0,1.8,0,1.4,0,0,0,1.5,0,0.5,0,13.7,0,1.8,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",3.8,0.8,0,0,0,0,1.4,0.3,0.9,0.1,0.4,0.1,0,0.2,0,0,0,0,0,0,0.4,0,0,0.1,0.8,0
TABACO ELABORADO,0,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,0,0,0,0,0,0,0,0
