	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
OTROS ACEITES ESENCIALES	0	72.1	0	0	0	72.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPEL Y CARTON	13710.7	0	1175.5	0	395.6	0	1219.5	0	1507.1	0	209.3	0	1621.6	0	1960.3	0	1077.7	0	1168.6	0	2009.3	0	784.5	0	581.6	0
PINTURAS Y BARNICES	886.6	0	62.1	0	95.3	0	91.7	0	39.5	0	120.7	0	38	0	95.7	0	57.5	0	133.1	0	83.9	0	52.4	0	16.6	0
PREPARADOS A BASE DE CEREALES	4.2	1.3	0.2	0	3.3	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	39.1	0	0	0	0	0	3.5	0	28.5	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0.5	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	730.4	11.6	60.2	0	29.5	0	30.1	0	32.7	5.1	0	0.1	31.4	0.1	198.9	0	142.5	0.8	53.4	0	0	0.4	80.3	3.1	71.5	2.1
PREPARADOS DE FRUTAS	3.2	1209.2	0	85.6	0	120	2.7	120	0.5	25.9	0	187.2	0	72	0	58.4	0	114.8	0	65.6	0	126	0	99.2	0	134.4
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	611.7	0.6	50.9	0	1.7	0	47.2	0	128.9	0	47.5	0	53.1	0	119.7	0	48.6	0	96.7	0	14.4	0	2.4	0	0.7	0.6
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	1836.6	5.9	140.5	0	228.5	0	187.8	0	130.4	0	196.9	0	252.6	0.1	159.6	0.1	126.2	0	57	0	139	3.1	199.6	2.5	18.7	0
PRODUCTOS FARMACEUTICOS	355.5	244.1	0	46.1	8.6	0	24.8	0	0.2	50.5	62.8	0	4.6	10.8	0	47.5	0	0	12.3	43.1	118.9	46	123.3	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	190.8	2.9	11.2	0	0	0	0.7	0.8	6.3	0	19	0	8.6	0	8.3	0	18.6	0	36.1	0.1	23.5	0	30.6	1.2	27.8	0.7
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	122.7	3	0	0	0	0	61.6	0	55.8	3	0	0	0	0	0	0	1.7	0	0	0	1.3	0	0	0	2.2	0
