	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	30223	25.3	2146.1	0	2455.4	0	2118.8	0	4856.4	0	3464.2	6.8	2696.3	2	2623	7.9	2657.6	0	2911.1	0	1559	0	1623	8.6	1112	0
PRODUCTOS FARMACEUTICOS	18292.1	193.6	1631.3	0	763.6	0	1337.1	0	908.9	0	2356.6	86.4	1935.9	107.3	924.1	0	1169.7	0	3978.5	0	1354.9	0	1218.8	0	712.8	0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	699.2	0	105.2	0	185.8	0	108.9	0	101.3	0	28.6	0	72.7	0	0	0	0	0	40.9	0	54.5	0	1.4	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	71	19.2	3.1	0	1.3	0.1	5.9	2.5	1.5	0	1	0.1	0.8	13.9	11.6	0.2	4.6	1	25.8	0.2	4.8	0.7	1.4	0.1	9.3	0.5
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	89.8	0	5	0	17.5	0	1	0	4.5	0	0	0	7	0	3.1	0	4.4	0	15.5	0	10.3	0	1.3	0	20	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	116.1	1.7	25.8	0.7	2.8	0	16.4	0	1.6	0	5.6	0	3.7	0.7	26.5	0	12.6	0	1.1	0	5	0	3	0	12.1	0.4
TUBERIA Y SUS ACCESORIOS	1681.4	4	80	0	145.5	0	113.8	0	77.5	0	88.3	0	124.8	0	182.1	4	92	0	232.8	0	104.4	0	263.3	0	176.9	0
VEHICULOS Y MATERIAL DE TRANSPORTE	33009.3	95.2	3083.1	0	2771.7	0.2	2775.1	0	2432.3	0	2670.8	16	2765.7	0.1	2362.9	5.4	2739.5	0	2224.1	58.8	2678.9	0	3658.7	0	2846.4	14.7
VIDRIO Y SUS MANUFACTURAS	1845.4	19.1	171.8	0	50.9	0	242.6	0.1	293.9	0	275.2	12.1	121.8	0	72.8	0	152.8	1.4	280.9	0	57.3	5.4	64	0.1	61.4	0
INDUSTRIAS EXTRACTIVAS	13208.6	31.8	559.8	0	393	8.2	567.3	0	341.4	0	696.3	2.7	6541.9	0.2	719.6	0	526.3	3.1	2039.4	14.9	450.9	0	180.2	2.7	192.6	0
ALUMINIO	1563.2	0.2	158.2	0	3.8	0	285.2	0	55.9	0	285.9	0	55.3	0.2	96	0	240.9	0	161.4	0	72.5	0	45.9	0	102.1	0
COBRE Y SUS MANUFACTURAS	179.5	31.6	37.9	0	33.5	8.2	6.9	0	17.2	0	17.1	2.7	0.6	0	25.5	0	1	3.1	19.7	14.9	0	0	0.8	2.7	19.3	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
ESTA&O	39.9	0	2.4	0	0	0	0	0	0	0	14.1	0	0	0	0	0	0	0	20.9	0	0	0	0	0	2.6	0
GASES INDUSTRIALES	261	0	36.3	0	10.6	0	12.1	0	27	0	4.6	0	18.7	0	68.6	0	22.9	0	24.7	0	25.7	0	0.3	0	9.6	0
HIERRO Y ACERO	9364.3	0	247.1	0	165.8	0	88.6	0	91.8	0	145.9	0	6333.3	0	335.3	0	118.1	0	1656.7	0	176.8	0	0	0	5.1	0
MAGNESIO	3.8	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	2.3	0	0.4	0	0	0	0.9	0	0	0
NIQUEL	36.7	0	8.5	0	2.9	0	23.7	0	0	0	1.2	0	0	0	0	0	0.1	0	0	0	0.2	0	0	0	0	0
OTROS DERIVADOS DE PETROLEO	1566.3	0	53.7	0	176.1	0	131.6	0	116.7	0	205.1	0	128.9	0	178.9	0	132.4	0	138.9	0	144.1	0	106.1	0	53.8	0
OTROS METALES COMUNES	27.5	0	8.3	0	0	0	4.6	0	0	0	3	0	2.1	0	3	0	3.5	0	1.2	0	0	0	1.9	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	48.3	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	30.2	0	18	0	0	0
PLOMO	0.5	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS MINERALES DIVERSOS	97.3	0	7.3	0	0.3	0	14.6	0	14.1	0	19.1	0	2.5	0	12.4	0	4.2	0	15.4	0	1.1	0	6.3	0	0.2	0
ZINC	19.3	0	0.1	0	0	0	0	0	18.5	0	0.2	0	0.1	0	0	0	0	0	0.1	0	0.3	0	0	0	0	0
