,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
PAPEL Y CARTON,465.7,5364.7,32.6,634.1,74.4,275.7,37.3,240.7,104.5,653.6,15.9,518.2,0,508.7,9.7,436.5,101.1,142.3,19.3,456.2,71,553.4,0,257.8,0,687.5
PESCADO Y MOLUSCOS,0,75.8,0,72.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0
PINTURAS Y BARNICES,0.1,4374.2,0,179,0.1,326.4,0,125.1,0,589.3,0,492.7,0,321.6,0,397.6,0,482.5,0,518.6,0,504.8,0,243.7,0,193.1
PREPARADOS A BASE DE CEREALES,0,4125,0,301.9,0,529.4,0,79,0,603.8,0,430.1,0,493.1,0,259.6,0,287.1,0,411,0,222.2,0,462.6,0,45.2
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,71.3,0,9.1,0,0,0,38.1,0,0.5,0,0.5,0,0.1,0,0,0,11.5,0,0.1,0,3.1,0,4.9,0,3.3
PREPARADOS DE LEGUMBRES Y HORTALIZAS,455.9,1780.6,0,52.6,0,143.4,0,104.5,40.6,142,40.5,197.6,97,137.3,37,144.9,81.2,38.9,38.8,320,80.4,134.4,0,209.1,40.5,155.7
PREPARADOS DE FRUTAS,2041.5,65,144,11.3,82.8,0,162,0,220,1.8,332.8,0,163.7,0,54.6,25,155.7,23.3,170.7,0,211.9,0,210.9,3.7,132.5,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0.2,3475.6,0,180.5,0,345.8,0,354,0,302.7,0,285.4,0,201.1,0,335.6,0.2,416.1,0,483.5,0,167.2,0,236.4,0,167.5
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,67.4,39170.3,0,1774.7,0,1778.7,0,3469,0,5438,66.9,2571.6,0,4199.4,0,3080.1,0,4543.4,0,4927.4,0.2,3138.5,0.3,2725.7,0,1523.7
PRODUCTOS FARMACEUTICOS,247.1,14923.6,0,1030.3,0,586.1,41.7,1263.8,83.2,1122.1,120.4,1741.5,0,1166.9,0,1877.1,0,2176.9,1.9,1722,0,702,0,680.7,0,854.3
