	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	735.2	0.5	43.6	0	52.2	0	62.9	0	26.8	0	57.3	0	81.7	0	64.4	0.5	139.8	0	24.3	0	60.2	0	42.8	0	79.2	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	782.1	230.6	26.2	0.2	42.6	0.1	12	3.1	35.5	0	45.5	1.4	17.4	0	36.8	24.9	29.7	75.4	100.1	55.6	104.7	50.5	139.7	8.9	191.9	10.3
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	6375.3	182.9	406.5	17.6	516.5	13.7	681.6	20.9	760	22.8	945.6	14	462.9	9.4	654.3	16.6	257.3	13.1	301.1	9.1	478.4	14.5	345.8	14.2	565.3	17.1
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	945.5	32.7	29.6	0.2	145.9	0	73.1	0.6	23.7	0.3	72	11.6	108.8	0.3	10	3.7	103.1	1.8	103.8	0.1	40.2	10.7	94.4	0.1	141	3.5
TABACO ELABORADO	0.4	6.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0.3	0	0	0
TUBERIA Y SUS ACCESORIOS	26431.5	2508.7	16733.7	8.7	418.2	11.6	523.5	300	1006.8	480.1	771.1	331.9	788.8	307.6	959.8	629.9	692.3	353.9	1134.7	6.6	503.6	61.4	2430.8	0	468.2	17
VEHICULOS Y MATERIAL DE TRANSPORTE	50267.2	1320.2	3205.7	241.8	4547.4	400.6	5158	69.8	7197	210.9	6971.1	100.3	1833.1	0	2443.5	4.4	3784.7	3.3	4126.1	5.9	4402.8	24.7	2963	13.1	3634.8	245.5
VIDRIO Y SUS MANUFACTURAS	13418.5	1169.1	1539.4	383.8	1388	0	1376.2	334.9	1131.1	24	955.7	16.7	1106.5	26.4	1256	16.8	1136.8	39	1212.8	0.5	1104.2	15.4	686.7	73.9	524.9	237.7
INDUSTRIAS EXTRACTIVAS	190781.8	127114.8	23740.9	10769.9	15829.2	13456.6	19312.9	11761.7	18421.1	13090	19444.3	17202.9	16239.1	2316.3	16079.5	2549	11545	18552.1	13201.7	10458.9	14300.5	8082.4	13114	7489	9553.6	11386
ALUMINIO	23929.3	49.1	3269.9	3.9	2843.2	18	2561.7	0	2030	12.8	2239.9	7.3	2290.1	0.1	2012.1	0.4	974.1	5.1	1189.4	1.2	1630	0.1	1147.1	0	1741.8	0
ASFALTO	2.6	0	0.6	0	1.1	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.2	0	0	0	0	0
CEMENTO	12677.8	0	942.7	0	866	0	4705.1	0	2725.2	0	10.8	0	21.5	0	468.6	0	21.5	0	2842.7	0	0.1	0	9.1	0	64.6	0
COBRE Y SUS MANUFACTURAS	1108.4	215	198.1	0	17.8	0	110.2	0	50.1	0	98.6	0	97.2	0	368.6	1.4	41.9	0	22.6	104.3	54.2	105.1	41.2	2.7	8.2	1.4
