,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
INSTRUMENTAL MEDICO Y OTROS,"1,151.30","8,155.20",687.50,585.10,53.40,558.80,0.50,677.10,4.30,597.00,8.10,849.30,4.70,805.20,2.40,615.70,15.30,739.90,3.00,742.00,183.00,487.60,49.60,650.60,139.50,847.00
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES","2,261.10","6,069.90",0.20,319.60,0.10,367.70,2.80,404.80,0.30,203.80,3.50,502.90,1.90,269.30,16.30,357.40,563.50,882.60,"1,048.90",937.60,583.60,565.40,1.60,676.50,38.30,582.30
LAMINA Y ALAMBRE,20.40,"44,099.50",17.50,"1,905.30",0.40,"6,131.20",0.00,"5,277.70",0.10,"4,684.10",0.20,"3,583.60",0.00,"3,679.30",0.20,"4,017.40",0.10,"3,490.20",0.10,"2,394.80",1.50,"2,794.60",0.00,"3,047.10",0.30,"3,094.30"
LECHE Y OTROS PRODUCTOS LACTEOS,93.00,"39,844.60",12.40,"2,418.90",4.10,"4,250.80",2.40,"2,566.10",20.30,"3,682.00",0.00,"4,800.90",24.60,"3,781.50",8.20,"2,257.00",17.70,"5,220.30",0.00,"2,608.40",0.00,"2,972.80",0.10,"2,821.10",3.20,"2,464.90"
MADERA EN TROZA,0.00,91.50,0.00,0.00,0.00,0.00,0.00,13.10,0.00,50.70,0.00,0.00,0.00,0.00,0.00,27.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANUFACTURAS DE CAUCHO,523.40,"5,959.90",36.30,378.50,22.80,524.50,70.50,495.10,18.90,453.6,55.30,543.60,9.30,505.60,101.70,448.50,45.50,501.20,26.40,668.00,74.10,458,24.40,668.20,38.20,315.2
MANUFACTURAS DE CERAMICA,185.00,"21,923.70",19.60,"3,144.40",9.60,"2,227.80",9.60,"2,154.30",45.60,"1,653.10",0.10,"1,624.70",19.50,"1,454.50",0.50,"1,465.30",9.70,"1,861.40",9.20,"1,816.90",3.50,"1,309.40",46.30,"1,641.80",11.80,"1,570.20"
MANUFACTURAS DE CUERO,271.20,759.50,51.50,49.90,11.30,45.30,15.50,47.90,0.00,51.30,27.80,63.30,0.00,36.90,64.30,48.60,0.00,101.10,0.00,65.80,0.00,46.30,23.30,66.60,77.50,136.40
MANUFACTURAS DE MADERA,"2,777.00","4,633.80",271.90,183.7,165.70,347.2,233.90,342.3,341.00,"1,431.70",213.60,725.8,138.80,135.4,266.60,251.8,235.60,260.1,133.90,197,379.60,240.4,150.20,294.8,246.20,223.5
MANUFACTURAS DE PAPEL Y CARTON,"25,013.10","80,785.60","2,030.00","6,587.80","1,564.10","6,325.70","2,283.40","6,139.30","2,791.60","6,018.00","1,978.00","6,584.10","2,054.40","5,456.70","2,566.00","7,840.80","2,176.00","6,973.90","2,277.10","5,813.40","1,824.80","7,615.20","1,553.50","7,512.30","1,914.20","7,918.30"
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",97.40,"9,847.00",0.00,628.80,0.00,653.80,0.00,843.70,15.80,781.50,5.40,798.00,0.00,729.90,0.00,954.40,0.00,"1,005.10",75.50,874.60,0.70,713.80,0.00,"1,000.80",0.00,862.70
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,145.00,"1,329.10",0.00,145.5,1.50,109.3,0.00,109.3,90.30,150.2,13.20,72.2,0.00,114.6,16.00,68.4,1.20,146.4,0.10,112.3,0.00,71.7,22.60,113.50,0.00,115.5
MANUFACTURAS DE PIELES,90.20,"5,949.70",0.00,426.60,0.00,402.10,0.00,533.60,0.00,595.70,20.10,166.60,0.00,567.70,0.00,318.20,18.00,333.00,0.00,161.90,0.00,606.40,52.10,809.40,0.00,"1,028.70"
MANUFACTURAS DIVERSAS,"8,687.30","75,996.10",467.40,"5,280.80",640.10,"6,141.30","1,140.90","5,607.00","1,278.20","7,015.80",851.30,"12,823.00",568.80,"3,967.70",561.20,"5,436.90",572.10,"6,309.00",578.40,"5,853.00",438.30,"5,378.70",676.60,"5,820.40",913.90,"6,362.50"
