,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MATERIALES TEXTILES (TEJIDOS O TELAS),14.7,4241.1,0,523.1,0,265.7,0.3,494.3,0,368.7,0,394.1,0,473.8,0,232,6.3,316.1,0,480.2,0,85.4,8.1,231.2,0,376.4
MELAZAS DE AZUCAR,3396.3,0,3396.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",1.3,2606.2,0,311,0,133.1,0,91.1,0,233.8,0.3,292.3,0,220.8,1,214.5,0,134.9,0,251.7,0,272.2,0,249.1,0,201.7
NEUMATICOS Y TUBOS,0,2586.5,0,219.5,0,217.7,0,110,0,318.1,0,133.8,0,379.6,0,42.9,0,232.5,0,81.2,0,239.9,0,284,0,327.3
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",0.3,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,0.7,2110.8,0,270.6,0,207.5,0,140.9,0,59.7,0.2,145.8,0,197.1,0.6,98.8,0,203.4,0,158.6,0,253.6,0,128.8,0,246.1
OTROS ACEITES ESENCIALES,1.1,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPEL Y CARTON,2188.9,19.8,179.5,0,160.9,0,208.1,0,165.6,0,368.4,0,238.3,0,175.4,0,276.5,0,103.8,19.1,52.4,0,190.9,0.7,69,0
PESCADO Y MOLUSCOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIELES Y CUEROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINTURAS Y BARNICES,6.3,1402.9,0,167.1,0,165.9,0,107.9,0,107.3,6.3,43.9,0,177.9,0,18.1,0,144.1,0,125.3,0,127.1,0,103.4,0,114.8
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREPARADOS A BASE DE CEREALES,0,27.7,0,0,0,0,0,2.3,0,6.2,0,0,0,0,0,9.3,0,0,0,9.8,0,0,0,0,0,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
PREPARADOS DE FRUTAS,0.7,11.8,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0.5,0.7,0.7,0,0,0,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0,343.9,0,0,0,52.7,0,1.7,0,0.1,0,100.2,0,0,0,111.9,0,0.1,0,0,0,0,0,77.2,0,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,0,22684.9,0,531.5,0,1073.1,0,5799.1,0,344.6,0,845,0,2314.9,0,1734.7,0,1919,0,946.7,0,6006.3,0,214.2,0,955.8
PRODUCTOS FARMACEUTICOS,0,198.3,0,0,0,0,0,15.1,0,0,0,0,0,0,0,125.1,0,0,0,0,0,36.4,0,0,0,21.6
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0,24.8,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",0,15.8,0,0.9,0,5.1,0,0,0,0,0,0.2,0,0,0,0,0,0.3,0,5,0,4.3,0,0,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",1.9,303.1,0,77.1,0,0,0,0,0,0,0,0,1.9,0,0,112.5,0,0,0,0,0,0,0,0,0,113.5
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0,431.5,0,64.9,0,9.7,0,0,0,2,0,128.4,0,21.9,0,6.1,0,22.3,0,51.7,0,0.1,0,1,0,123.4
TABACO ELABORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TORTA DE SEMILLA DE ALGODON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,0,2516.4,0,242.7,0,194,0,186.3,0,42.1,0,75.6,0,246.7,0,217.7,0,219.9,0,320,0,211.9,0,177.6,0,382
VEHICULOS Y MATERIAL DE TRANSPORTE,0.1,22612.4,0,2009.1,0,1739.9,0,1992.2,0,1422.8,0,1885.8,0,2433.9,0.1,1489.2,0,2053.6,0,2115.2,0,2062.1,0,1416.7,0,1991.8
VIDRIO Y SUS MANUFACTURAS,0,946.6,0,49.2,0,39.4,0,139.6,0,23,0,79,0,86,0,71.3,0,144.8,0,126.3,0,76.8,0,53.9,0,57.1
