	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
CERAS	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
CLAVOS Y TORNILLOS	0	247.1	0	13.2	0	23.7	0	23.9	0	33.2	0	28.4	0	4.2	0	16.1	0	6.5	0	11.8	0	36.6	0	7.8	0	41.9
DETERGENTES Y JABONES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0
GLICERINA CRUDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	0	22.9	0	7.3	0	0	0	7.3	0	0	0	0.9	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0
HARINAS DE CEREALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	0.1	25.1	0.1	5.9	0	0.1	0	0.1	0	0.2	0	1.3	0	0.1	0	14.9	0	1.7	0	0.1	0	0.2	0	0.4	0	0.2
HILOS E HILAZAS	0.8	14.1	0	0	0	0.4	0	0	0	1.4	0	2.6	0	6.4	0	3.3	0	0	0.8	0	0	0	0	0	0	0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	13.6	2122.2	0	77.6	3.4	205.3	0	183.4	0	86.1	3.4	388.8	0	0	0	196	0	290.7	3.4	0	0	348.4	0	345.9	3.4	0.1
INSTRUMENTAL MEDICO Y OTROS	5.2	5549.5	0	2004	0	269	0	195	0.2	246.6	5	319.2	0	284.1	0	334	0	391.9	0	241.1	0	474	0	448	0	342.5
JOYERIA DE FANTASIA	0	6.4	0	0	0	0.9	0	1.1	0	1	0	0	0	0	0	0.6	0	0	0	1.3	0	0	0	0	0	1.3
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	6	53.9	0	7	0	7.3	1.3	0	0.6	0	0	10.5	0	0.3	0	19.3	0	0	4	0.5	0	9	0.1	0.1	0	0
