,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,
PREPARADOS DE LEGUMBRES Y HORTALIZAS,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,
PREPARADOS DE FRUTAS,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS","1,179.80",0.00,74.90,0,39.50,0,127.80,0.00,139.10,0,194.40,0,106.80,0,146.90,0.00,68.70,0.00,90.00,0.00,29.80,0.00,65.60,0.00,96.10,
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"5,146.70",11.50,375.90,0.00,174.80,0.00,279.00,0.00,663.90,0.00,239.00,0.00,382.20,3.80,443.20,0.00,491.40,3.80,576.10,3.90,245.50,0.00,744.40,0.00,531.30,
PRODUCTOS FARMACEUTICOS,"1,016.80",20.00,214.20,0.00,47.80,0.00,21.00,0.00,87.80,0.00,234.70,0.00,48.30,20.00,35.00,0.00,70.20,0.00,8.80,0.00,29.90,0.00,219.00,0.00,0.10,
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,88.10,0.00,1.80,0.00,0.00,0.00,10.10,0.00,0.00,0.00,0.10,0.00,2.00,0.00,67.40,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,2.50,
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",25.00,0.20,3.70,0.00,0.30,0.00,0.00,0.00,20.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.30,0.00,0.30,
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",17.70,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.10,
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,1.10,0.00,4.20,0.00,0.00,0.00,0.90,0.00,0.40,0.00,0.10,
TABACO ELABORADO,351.30,0.00,0.00,0.00,59.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,15.20,0.00,0.10,0.00,91.00,0.00,0.10,0.00,102.80,0.00,0.00,0.00,82.90,
TUBERIA Y SUS ACCESORIOS,761.70,0.10,22.90,0.00,51.70,0.10,69.40,0.00,90.00,0.00,82.30,0.00,65.80,0.00,60.50,0.00,33.00,0.00,112.60,0.00,69.20,0.00,4.30,0.00,99.90,
VEHICULOS Y MATERIAL DE TRANSPORTE,"12,868.20",5.00,"1,729.50",0.00,589.50,4.90,595.20,0.00,"1,276.00",0.00,"1,333.00",0.00,543.80,0.10,744.80,0.10,838.70,0.00,"1,250.10",0.00,"1,255.10",0.00,710.00,0.00,"2,002.50",
VIDRIO Y SUS MANUFACTURAS,"1,085.90",0.10,151.50,0.00,73.20,0.00,129.10,0.00,69.60,0.00,119.50,0.00,52.00,0.00,128.50,0.00,9.30,0.00,109.40,0.00,134.20,0.00,45.30,0.00,64.50,
INDUSTRIAS EXTRACTIVAS,"3,162.40",0.00,67.30,0.00,354.60,0.00,93.30,0.00,277.60,0.00,186.50,0.00,206.20,0.00,551.00,0.00,70.10,0.00,178.50,0.00,154.40,0.00,858.00,0.00,164.80,
ALUMINIO,785.70,0.00,36.30,0.00,47.90,0.00,69.20,0.00,81.50,0.00,121.30,0.00,67.70,0.00,69.60,0.00,12.10,0.00,1.10,0.00,67.70,0.00,71.30,0.00,139.80,
COBRE Y SUS MANUFACTURAS,242.20,0.00,20.20,0.00,7.20,0.00,10.30,0.00,24.20,0.00,29.50,0.00,44.60,0.00,13.20,0.00,9.40,0.00,24.70,0.00,26.50,0.00,18.90,0.00,13.50,
DIESEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HIERRO Y ACERO,"1,982.80",0.00,0.00,0.00,297.00,0.00,13.80,0.00,171.90,0.00,35.70,0.00,77.00,0.00,454.90,0.00,48.60,0.00,142.10,0.00,0.40,0.00,741.40,0.00,0.00,
OTROS DERIVADOS DE PETROLEO,81.10,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,3.30,0.00,59.60,0.00,17.50,0.00,0.00,
PRODUCTOS MINERALES DIVERSOS,60.00,0.00,9.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0,13.20,0,0.00,0,7.30,0,0.10,0,9.00,0,11.50,
ZINC,10.60,0.00,1.80,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
