,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
MANUFACTURAS DE CUERO,0.00,92.30,0.00,0.00,0.00,2.70,0.00,5.70,0.00,7.70,0.00,16.80,0.00,20.10,0.00,0.00,0.00,0.30,0.00,2.50,0.00,1.00,0.00,0.00,0.00,35.40
MANUFACTURAS DE MADERA,1.80,"9,920.90",0.00,583.70,1.80,425.00,0.00,645.70,0.00,"1,088.80",0.00,"1,438.20",0.00,938.30,0.00,712.20,0.00,747.80,0.00,"1,010.50",0.00,508.40,0.00,"1,049.80",0.00,772.50
MANUFACTURAS DE PAPEL Y CARTON,18.00,"1,128.80",0.40,155.70,0.10,85.10,0.10,113.00,0.00,94.80,0.00,26.70,2.10,121.00,1.10,174.00,1.30,142.70,0.00,64.80,0.10,17.10,12.80,89.10,0.10,44.80
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0.00,796.50,0.00,38.30,0.00,20.40,0.00,26.10,0.00,178.30,0.00,104.10,0.00,107.20,0.00,53.80,0.00,56.50,0.00,17.10,0.00,102.50,0.00,35.70,0.00,56.60
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,0.00,116.80,0.00,7.30,0.00,5.30,0.00,4.00,0.00,7.00,0.00,5.50,0.00,13.10,0.00,0.00,0.00,3.10,0.00,7.20,0.00,6.70,0.00,29.10,0.00,28.60
MANUFACTURAS DE PIELES,0.00,58.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,9.30,0.00,0.00,0.00,30.40,0.00,17.10
MANUFACTURAS DIVERSAS,0.00,"6,561.00",0.00,488.00,0.00,226.20,0.00,476.10,0.00,634.60,0.00,272.00,0.00,379.50,0.00,183.50,0.00,946.60,0.00,807.60,0.00,756.10,0.00,874.10,0.00,516.70
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,312.40,"50,504.10",0.30,"4,869.30",50.50,"5,559.20",0.50,"1,174.90",11.70,"3,812.70",0.00,"5,403.60",9.70,"2,746.00",3.00,"7,505.30",9.40,"4,254.70",1.60,"4,147.80",0.00,"4,830.40",0.20,"4,458.90",225.50,"1,741.30"
MATERIALES PLASTICOS Y SUS MANUFACTURAS,89.10,"34,755.40",0.90,"2,003.00",0.00,"2,663.50",0.00,"3,797.40",0.00,"6,369.30",25.80,"4,385.80",4.90,"3,438.80",2.50,"2,110.90",54.20,"3,106.80",0.60,"1,647.80",0.00,838.30,0.10,"2,955.40",0.00,"1,438.30"
MATERIALES TEXTILES (TEJIDOS O TELAS),0.00,671.40,0.00,12.60,0.00,25.10,0.00,8.10,0.00,141.7,0.00,37.60,0.00,108.20,0.00,70.30,0.00,36.20,0.00,74.40,0.00,57.9,0.00,98.50,0.00,0.9
