	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
PINTURAS Y BARNICES	0	1155.7	0	77.6	0	110.4	0	222.6	0	58.1	0	100.8	0	74.5	0	136.7	0	113.1	0	46.8	0	73.7	0	80.3	0	61.2
PREPARADOS A BASE DE CEREALES	0	8.9	0	0	0	0	0	0	0	2.7	0	0	0	0	0	2.9	0	0	0	0	0	0.3	0	1.1	0	2
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.5	0	0	0	0	0	0	0	0	0	0
PREPARADOS DE FRUTAS	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	0	481.9	0	54.2	0	0	0	0	0	120.5	0	55.2	0	0	0	0	0	72.4	0	99.2	0	80.3	0	0	0	0.1
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	0	16196.4	0	681.6	0	2082.1	0	710.5	0	903.2	0	914	0	1925.2	0	227.6	0	340.9	0	2764	0	1109.3	0	570.5	0	3967.7
PRODUCTOS FARMACEUTICOS	0	215.3	0	24.6	0	0	0	45.6	0	0	0	38.5	0	0	0	63.8	0	0	0	0.1	0	21.4	0	0	0	21.3
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0	29.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28.1	0	0	0	0	0	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	0.1	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0.4	0	0	0.1	4.5
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	0	137.5	0	0	0	0	0	0	0	0	0	77.3	0	0	0	0	0	60.1	0	0	0	0	0	0	0	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	0	203.3	0	22	0	1.4	0	4.3	0	11.1	0	0.2	0	63	0	0.1	0	10.9	0	62.2	0	24.1	0	2.8	0	1.4
TUBERIA Y SUS ACCESORIOS	0	2253.8	0	147.7	0	65	0	375.1	0	82.5	0	143.1	0	260.9	0	173.5	0	194.8	0	72.1	0	175.4	0	314.3	0	249.4
VEHICULOS Y MATERIAL DE TRANSPORTE	0	24030	0	1954.1	0	1896.2	0	2504.3	0	1280	0	2433.7	0	1947.8	0	2511.6	0	2415.6	0	1631.9	0	1739.7	0	2255.5	0	1459.6
VIDRIO Y SUS MANUFACTURAS	0	997.6	0	35	0	114.9	0	129.7	0	29	0	188.8	0	53.3	0	25	0	50.5	0	229.1	0	102.8	0	4.4	0	35
INDUSTRIAS EXTRACTIVAS	990	1176.4	25.4	35.1	29.4	64	64.4	205.5	103.6	74.4	57.8	129	50.4	66.8	101.1	208	89	102.8	101.7	141.9	94.9	25.7	47.7	32	224.5	91.1
ALUMINIO	275.8	436.2	2.3	34.8	4.1	0	8	197.6	14.1	12.4	1.8	70.6	3	1.3	18.7	11.1	1.3	12.2	42.6	5.8	64.1	0	21.2	0.4	94.7	90
COBRE Y SUS MANUFACTURAS	244.9	20.5	19.8	0.4	18.3	0	9	0	60.3	0	19.2	0	12	2.7	30.6	0	38.4	0	13.3	0	6	0	9	17.4	9	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	397.1	0	3.3	0	6.1	0	32	0	20.2	0	36.7	0	32.1	0	41.6	0	47.6	0	42.3	0	0	0	17.5	0	117.6	0
ESTA&O	0	18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	0	0	3.6	0	3.4	0	0	0	0
HIERRO Y ACERO	0	149.6	0	0	0	43.4	0	7.9	0	9	0	58.4	0	0	0	0	0	8.5	0	0	0	22.3	0	0	0	0
OTROS DERIVADOS DE PETROLEO	0	524	0	0	0	0	0	0	0	50.4	0	0	0	62.8	0	184.6	0	81.2	0	132.4	0	0	0	12.5	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	22.3	0	0	0	1	0	6	0	0	0	0	0	3.3	0	0	0	1.8	0	3.5	0	3.6	0	0	0	3.2	0
PRODUCTOS MINERALES DIVERSOS	21.2	1	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.8	0	0	21.2	0	0	0	0	0
ZINC	28.6	26.8	0	0	0	20.5	9.4	0	9	2.5	0	0	0	0	10.2	0.8	0	0.1	0	0	0	0	0	1.7	0	1.1
* Fuente: Declaraciones y formularios aduaneros																										
