,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",122.8,454,0.7,119.2,5.2,62.4,64.3,29.4,8,0,2.2,0,0,120.8,17.4,120.6,1.8,0,1.7,0,15.8,1.6,4.8,0,1,0
NEUMATICOS Y TUBOS,146.4,0,119.4,0,0,0,0.7,0,0,0,0,0,0,0,3.9,0,22.4,0,0,0,0.1,0,0,0,0,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",1.6,1.2,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0.3,0.1,0,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,1104.9,6.7,17.6,0,5.1,0,22.2,0,20.4,0,59,0,0.7,0,45.2,6.7,5.5,0,9.1,0,847,0,72.9,0,0.3,0
OTROS ACEITES ESENCIALES,84.1,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,42,0,0,0,0,0
PAPEL Y CARTON,826.2,0,194.1,0,0,0,1.3,0,77.4,0,0,0,71.8,0,37.3,0,45.7,0,101.7,0,124.6,0,43.8,0,128.4,0
PINTURAS Y BARNICES,2916.4,43.6,253.5,0,315.2,0,186.3,0,158.1,0,287.1,0,233.7,43.6,212.9,0,435.2,0,195.5,0,227.3,0,247.5,0,164.1,0
PREPARADOS A BASE DE CEREALES,2953.7,0,148.3,0,283,0,447.8,0,625.3,0,654,0,62.8,0,113.4,0,100.5,0,123.7,0,153.5,0,209.9,0,31.6,0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",78.3,0,48.7,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,556.1,0,0,0,56.1,0,22.8,0,32.2,0,65.8,0,49.4,0,21.7,0,52.1,0,76.7,0,53.8,0,56.8,0,68.7,0
PREPARADOS DE FRUTAS,0,559.3,0,165.5,0,33.6,0,32.6,0,42,0,95.6,0,32.6,0,32.7,0,0,0,0,0,0,0,0,0,124.8
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",1770.7,0,99.6,0,53.6,0,478.6,0,0,0,170.1,0,8,0,235.8,0,145.2,0,31,0,300.5,0,239,0,9.3,0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,27848,15.9,993.2,0,2985.4,0,3997.3,0,2182.2,0,2619,0,2176.8,15.9,3253,0,1268.7,0,2365.5,0,2281,0,1787.3,0,1938.7,0
PRODUCTOS FARMACEUTICOS,26231.6,0,819.2,0,83.1,0,2413.8,0,188.3,0,3122.9,0,241.3,0,492.4,0,168.1,0,3330.6,0,10143.2,0,3071.7,0,2157,0
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,1861.9,0,130.6,0,159.5,0,88.9,0,253.1,0,182.1,0,165.5,0,86.8,0,176.1,0,175.8,0,198.6,0,120.8,0,124.2,0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",195.8,26.1,10.3,0,0.2,0,10.9,0.4,98.9,0,0,13,0,0,0.3,0.8,51.1,4.3,0,2.1,21.1,0.2,3.1,5.5,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",9.3,0,0.2,0,1,0,0,0,0,0,1.2,0,0.2,0,0.4,0,0.1,0,0,0,5.6,0,0.6,0,0,0
TABACO ELABORADO,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,5.2,0,0,0,0,0,0,0,0,0
TUBERIA Y SUS ACCESORIOS,435,0,3.6,0,12,0,67.5,0,40.2,0,88.3,0,6.9,0,10.3,0,10.7,0,15.4,0,92.2,0,12,0,75.9,0
VEHICULOS Y MATERIAL DE TRANSPORTE,24201.7,43,6455.3,0,476.1,0,1204.9,22.7,3758.9,0,1226.6,0,1352.1,0,839.6,20.2,1009.8,0,2014.9,0,2988.3,0.1,1673,0,1202.1,0
VIDRIO Y SUS MANUFACTURAS,169.1,0.6,4.4,0,44.4,0,0,0,0,0,0.3,0,0,0,42.4,0.4,13.7,0,7.3,0,1.9,0.1,52.9,0,2,0
