	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	1158.8	2443.5	28.9	105.3	111.4	183.1	137.6	291.6	84	106	61.8	221.5	121.9	180.6	33.4	275	120.7	231.8	117.1	182.4	36.1	186.9	163.9	286	142	193.3
NEUMATICOS Y TUBOS	10489.6	2511.9	783.8	227.7	837.8	244.9	1042.9	137.4	775.5	202.3	740.9	193.1	1039.4	274.5	940.8	168.9	752	131.9	1015.1	255.2	835.2	155.5	1114.6	265.4	611.6	255.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	7.3	1.7	0	0.4	0.3	0.2	0	0	0.1	0	0	0.2	3	0	2.7	0	0.2	0.1	0.3	0.3	0.2	0.2	0	0.3	0.6	0
OTRAS MANUFACTURAS DE METALES COMUNES	10937.4	2274.5	1257.5	87.6	812	192.4	1390.1	365.5	692.1	169.5	911.7	221.2	932.5	213.3	845.5	200.1	621.4	275.6	914.5	141.7	901.2	125.1	810.6	144.6	848.2	138.1
OTROS ACEITES ESENCIALES	18.7	0	0	0	0	0	0	0	7.9	0	0.1	0	1.7	0	0.3	0	2.7	0	0	0	0	0	6.1	0	0	0
PAPEL Y CARTON	6126	391.2	458.6	13.3	440.3	11.7	576.3	19.8	532.3	34.9	348	45.7	591.9	54.2	594.3	47.8	720.2	9.6	371.3	44.4	641.7	31.8	541.6	14.8	309.4	63
PESCADO Y MOLUSCOS	115.5	0	30.3	0	6.2	0	41.7	0	2.8	0	3.6	0	22.1	0	2.9	0	3.7	0	0	0	2.3	0	0	0	0	0
PIELES Y CUEROS	471.9	0	32.2	0	31.6	0	25.6	0	17.7	0	19.3	0	31.9	0	9.2	0	71.9	0	37.9	0	65.6	0	68.3	0	60.9	0
PINTURAS Y BARNICES	4620.5	3929.8	351.8	348.8	304.2	288.1	244	235.5	215.9	241.9	253.1	407.2	523	157.1	586.2	314.5	172.3	485.8	576.4	295.3	312.7	352.3	587.7	449.7	493.2	353.6
PREPARADOS A BASE DE CEREALES	16681.5	16863.6	1131.1	739.5	1434.1	1186.3	1306.4	1735.7	990.4	1224.1	1441.1	2041.4	1416.4	1499.3	1358.3	1501	1566.3	1629.7	1530.7	1368.8	1630.3	1514.5	1523.3	1457.4	1353	965.8
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	4766.9	5943.1	340.9	698.1	557.8	475.2	419.6	376.2	181.2	360.7	318.5	404.9	311	497.6	471.6	377.1	591.3	408.6	476.9	606.8	485.4	585.1	358.3	590.4	254.3	562.4
PREPARADOS DE LEGUMBRES Y HORTALIZAS	1344.3	4318.1	157.5	418.8	94.5	303.4	147.5	467.8	80.9	315.9	141.6	265.4	94	269.9	50	264.3	134.4	435.2	118	370.9	86.3	315.3	160	444.7	79.6	446.5
PREPARADOS DE FRUTAS	2824.3	3370.5	151	194	161.3	296.5	255.8	293.7	231.2	184.6	285.2	265.8	206.7	228.9	228.5	203.7	158.1	167.7	267.4	604.4	277.4	210.7	273	503.9	328.6	216.6
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	1321.8	11645.8	119.4	973.8	73.6	826.5	120.4	841.8	81.4	813.5	90	1173.6	107.1	993.3	88	975.8	108.4	1021.5	115.7	976.3	113.2	1231.1	176.9	1035.8	127.8	782.7
