	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
GRASAS Y ACEITES COMESTIBLES	54212.1	358.4	4949.8	0	3381.9	1.7	1823.9	34	2783.3	2.8	5540.6	89.4	2788.8	20	6169.2	0	2847.5	10.5	8302.4	35.8	2320.1	18.7	3070.5	140	10234.1	5.5
HARINAS DE CEREALES	4543	33.9	234.6	5	410.2	1	373	1.4	376	0.2	160.1	2.1	326.3	2.1	356.5	1	511.6	2.5	241.3	0.3	304.4	9.5	867.7	6.1	381.2	2.7
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	10113.7	25.5	914.6	0.6	661.4	0.1	694.1	0.8	935.4	14	876.6	1	1005.2	1.2	885.7	1.1	742.7	0.9	811.6	1.5	995.7	2.6	787.1	1.1	803.8	0.7
HILOS E HILAZAS	70520.2	4852.8	4299.6	182.2	5732.1	124.2	4975.7	211.1	7029.9	623.5	6248.3	170.5	8757.9	408.9	6715.9	577.5	6271.6	318.1	4882.6	452.5	5376.5	535.8	5736.8	484.4	4493.2	764
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	25621.9	10794.6	3467.4	499.6	3760	0	3081.8	633.9	2041.1	1605.2	2038.7	2271.9	2446.2	596.2	2104	0	2252.1	1492.6	1001	915	2093.8	1850	762.8	484.9	573	445.3
INSTRUMENTAL MEDICO Y OTROS	53763.3	3906	6114.7	22.6	4323.7	28.7	3740.8	213.8	4419.7	112.4	5266.7	424.9	3936.9	136.9	3844	74.3	4170.2	758.6	4145.3	767.2	4635.4	87.1	4168.9	1040.5	4997	239
JOYERIA DE FANTASIA	21.8	0	0.2	0	1.6	0	0.2	0	1	0	12.2	0	0	0	2.1	0	2.2	0	0.4	0	0.6	0	0	0	1.3	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	20499.7	17069.6	1247.5	160.3	1534.6	93.4	1311.3	171.9	1743.9	331.2	1605.1	516.9	1297.4	1788.2	1708.6	2294.1	1240.3	4203.9	1920.4	3505.8	1686.2	1664.2	3221	2133.7	1983.3	205.9
LAMINA Y ALAMBRE	24187.4	2393.5	2786.8	200.2	2042.3	215.8	1476.7	213.4	2773.8	59.4	751.3	175.1	2861.8	0	1673.7	305.1	1413.2	400.5	2544.9	471.9	3275.4	0	1736.6	178.4	850.9	173.7
LECHE Y OTROS PRODUCTOS LACTEOS	7948.5	106.7	1096.7	0.1	1036.7	0.6	600.2	15.5	622.2	0.4	722.3	0	643.3	0.3	352.1	0.2	619.8	0.2	572.8	76.8	703.6	6.6	590.9	3.2	388.1	2.9
