,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
MELAZAS DE AZUCAR,1.7,24518.5,0,0,0,8721.8,0.1,0,0,0,0,7901.6,1.2,7415.1,0,480,0.2,0,0.3,0,0,0,0,0,0,0
MOTA DE ALGODON,9.7,60.9,0,0,0,0.6,0.2,10.2,0,0,9.4,0,0,14.9,0.1,0,0,12.1,0,0,0,12.8,0,10.4,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",17573.4,4235.8,902.4,141,1037.8,61.2,1530.7,166.7,1227.8,72.6,1683,623,1502.1,178.1,1710.5,93.4,1635.1,918.4,1176.7,530.3,1354,363.2,2016.5,767.4,1796.9,320.5
NEUMATICOS Y TUBOS,19701.5,0.8,1384.8,0,1454.6,0,1374.8,0,1396.4,0,1198.9,0,1955.3,0,1214.9,0.7,1521.1,0.2,1529.4,0,2523,0,1973.3,0,2175,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",125.7,26.9,2.1,0.5,6.1,0.4,8.5,1.8,10.3,0.2,5,1,5.6,3.2,12,1.7,23.7,6.4,16.9,4.7,12.3,5.9,11.4,0.8,11.7,0.5
OTRAS MANUFACTURAS DE METALES COMUNES,33239.7,1461.1,1876,24.1,2355.6,6.3,2409.5,46.4,2070,130,3723.3,36.1,2812,53.5,2910.3,425,3429.3,67.1,2438.6,216,3682.5,202.2,3142.4,199.6,2390.3,54.9
OTROS ACEITES ESENCIALES,4785.7,281,271,14.3,243.8,8.2,624.2,11.3,231.7,48.7,278.8,3.7,246.7,27,338.1,38.9,922.5,58,265.5,3.7,827.8,27.5,263.2,25.6,272.4,14.1
PAPEL Y CARTON,103879.3,1160.1,8561.3,77.1,9099.5,109.2,8855.8,233.5,4824.9,0,9359.8,14.8,8918.9,402.4,10204.1,55.1,12776.2,108.2,7422.5,0,8837,75.1,8571.9,76.9,6447.3,7.8
PESCADO Y MOLUSCOS,2129.5,2309.4,148.2,47.4,186.8,45.7,298,168.3,196.3,312.1,132.2,109.7,142.3,171.7,218.8,535.2,197.2,434.9,121.1,231.7,145.2,97.7,220.7,84.8,122.6,70.3
PIELES Y CUEROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINTURAS Y BARNICES,25246,90.9,2092.5,0.5,1307.2,2.4,2901.5,0,1702.6,10.8,2104.7,0.9,1960.1,36.3,1937.5,1.6,2402.5,12,1762.4,4.3,2472.6,1.9,2560.6,6.1,2041.7,14.2
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA",299.3,0,0,0,71.3,0,25.7,0,0,0,7.7,0,9,0,59,0,13.4,0,9.2,0,26.7,0,4.3,0,73,0
PREPARADOS A BASE DE CEREALES,20781.7,1780,1110.2,186.8,1854.5,76.7,1831.1,210.5,2252.7,56.2,1944.7,308.9,2217.8,178.6,1652.1,165.8,1848.7,145.1,1387.4,146.5,1698.7,109.1,1800.4,61.8,1183.3,134
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",13510.7,8301.6,1482,486.8,1196.1,77.6,1257.1,154,698.1,617.5,893.9,500.2,1110.9,882.7,1280.2,176.4,1199.1,1793.1,957.4,795.8,1241.2,1092.8,1322.1,620.8,872.5,1103.9
PREPARADOS DE LEGUMBRES Y HORTALIZAS,15805.8,8008.4,1360.9,375.9,1405.7,601.1,1368,405.9,1285.8,236.6,1027.6,862.8,953.8,1179.7,1257.2,598.5,1523.3,789.3,1144.4,322.1,1735.5,756.7,1466,1431.4,1277.7,448.3
PREPARADOS DE FRUTAS,8986.8,4848,907.7,561.7,457.3,190.8,487.3,68.9,861.7,204.2,738.9,489.5,855.1,502.1,559.2,104,794.2,606.3,751.2,239.9,871.4,408.1,884.3,833.5,818.5,639.1
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",18229,6738.8,966.9,361.3,1387.3,170.2,1894.6,247.2,1588.7,271.2,1665.1,342.1,1001.7,478.3,1319.2,624.1,1848.2,520.2,935.6,833.3,2361.5,401.4,2039.3,1417.6,1220.8,1071.9
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,131105.8,6416.2,13805.1,946.5,11780.4,417.7,15081.7,827.1,12175.7,260.4,11691.7,414.9,11846.3,422.7,7819.7,452.3,10484.5,491.1,10344,797.4,9035.4,525.2,8872.5,386.1,8169,474.7
PRODUCTOS FARMACEUTICOS,37021.1,5982.5,1315.4,636.3,1591.4,318.1,2477.4,792.5,2000.1,640.2,4568.5,785.1,2078.1,403.9,3262.8,802.9,4168,241.4,4646.2,271.2,5978.8,445.1,3173.4,397.2,1760.9,248.6
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,17737.1,61.3,1534.1,0,1085.8,0,1490.9,0,1327.1,0,1813.9,11.6,1392.7,15,1257.6,6.8,1355.7,2.3,1563.4,5,1515.7,2.9,1618.7,15.9,1781.6,1.8
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",5685.5,2391.3,474.6,250.2,246.1,379.8,734.2,194.7,294.1,231.1,596,182.3,456.1,192.2,380.4,55.5,504.9,167.1,361,201.9,401,188,518.1,219.1,718.9,129.4
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",6103,434.3,443.2,35.9,276.3,0.7,454.5,40.9,425,21.6,667.3,68.4,340.6,10.5,440,76.1,585.3,37.2,500.5,23.8,671.5,59,885.1,25,413.5,35.1
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",798.2,200.8,52.5,7.5,108.3,10.5,71.5,17,64.2,5.3,60.7,30.5,56.8,9.9,102.6,6.4,56,8,49.6,23.1,54.5,30.3,54.3,15.1,67.1,37.2
TABACO ELABORADO,104.7,21.7,0.2,1.1,2.6,15.1,1.1,0,2.7,1.8,0.3,0,9.5,0,2.5,3.7,3.9,0,0.1,0,80.6,0,0.5,0,0.8,0
TUBERIA Y SUS ACCESORIOS,26372.9,136.6,1330.9,3.8,1380.6,0,2001.3,0.3,1363.1,4.6,3004.2,0,3684.3,0,1822.7,0,2429.1,17.3,2680.5,1,3034.7,109.3,1975.4,0,1665.9,0.4
VEHICULOS Y MATERIAL DE TRANSPORTE,380690.4,1825.2,25877.5,45.9,27382.4,137.3,33364.5,136.2,29866.8,19,32642,83.1,29953.9,234.6,29943.2,93.4,30923.4,203.5,28401.3,303.1,32399.3,97.1,36494.2,302.5,43442,169.4
VIDRIO Y SUS MANUFACTURAS,8870.4,186.8,779.2,1.6,611.3,3,683.5,4.2,561.4,2.6,706.8,25.6,892.6,5.3,805.6,5,794.6,8.7,685.4,48.2,793.8,34.5,929.9,15.4,626.5,32.8
INDUSTRIAS EXTRACTIVAS,751332.4,291725.4,34906.1,22257.3,54269.6,13349.6,62261.6,14052.6,83464.7,21972.8,90512.4,22210.8,26029,29849.1,109402.5,55400.4,62322.5,18992.3,61040.9,20380.9,70463,31691.5,52473.9,23330.9,44186.2,18237.3
ALUMINIO,9562.4,17797.9,511,1373.3,685.8,617.1,671.8,1428.1,419.3,733.9,720.9,1153.8,559.2,950.1,1251.7,2242.7,1683.9,1490.5,511.7,2556.8,1153.4,969.7,916.7,1611.9,477.1,2669.9
ANTIMONIO,30.8,83.5,0,0,0,0,8.9,83.5,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0
ASFALTO,715.2,0,54.3,0,54.6,0,39.6,0,31.8,0,84.4,0,33.5,0,107.5,0,61.8,0,24.4,0,104.9,0,98.2,0,20.1,0
CEMENTO,62.4,0,0.4,0,2.4,0,0,0,0,0,16.6,0,0,0,2.5,0,16.6,0,0.2,0,1.9,0,17.6,0,4.2,0
